TaxonName,CleanName,LifeForm,PresentStatus,official_first_record_year,FirstRecordDate,first_youtube_year,first_youtube_date,first_video_id,first_youtube_url,year_lag,lead_lag_days,lead_lag_years,lead_lag_years_rounded,day_category,year_category,n_videos_total,n_videos_pre_record,n_videos_same_year_as_record,n_videos_post_record,first_pre_record_video_id,first_pre_record_youtube_date,first_pre_record_youtube_year,first_pre_record_url,pre_record_context_category,plausible_wild_iberian_occurrence,confidence,validator_notes,interpretation
Varanus_exanthematicus,Varanus exanthematicus,Herptiles,uncertain,2011,2011-06-01T12:00:00Z,2006,2006-12-11T08:50:04Z,video_003943,[withheld],-5,-1633.1318981481481,-4.47127145283545,-4.47,YouTube before official first-record anchor,YouTube before official first-record year,40,11,5,29,video_003943,2006-12-11T08:50:04Z,2006,[withheld],Trade / pet / aquarium / ornamental,no,high,"Captive/pet content; no evidence of wild Iberian occurrence; ; channel user located in Spain; other videos from this channel user are from Spain (people, locations)",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Pseudemys_concinna,Pseudemys concinna,Herptiles,established,2013,2013-06-01T12:00:00Z,2009,2009-01-21T10:09:37Z,video_009928,[withheld],-4,-1592.0766550925925,-4.358868323319897,-4.36,YouTube before official first-record anchor,YouTube before official first-record year,21,2,3,19,video_009928,2009-01-21T10:09:37Z,2009,[withheld],Trade / pet / aquarium / ornamental,no,high,"Captive/pet content; no evidence of wild Iberian occurrence; video description text in Galician; other videos from this channel user are from Spain, mostly Galicia (people, locations).",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Pheidole_indica,Pheidole indica,Insects,established,2012,2012-06-01T12:00:00Z,2008,2008-08-15T23:50:27Z,video_011254,[withheld],-4,-1385.5066319444445,-3.793310422845844,-3.79,YouTube before official first-record anchor,YouTube before official first-record year,6,2,1,4,video_011254,2008-08-15T23:50:27Z,2008,[withheld],Plausible Iberian detection / observation,yes,high,Video appears to document a wild individual in Spain; channel user located in Spain; other videos from this channel user are from Spain,First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Leuciscus_aspius,Leuciscus aspius,Fishes,established,2017,2017-06-01T12:00:00Z,2014,2014-11-17T11:43:43Z,video_000404,[withheld],-3,-927.0113078703704,-2.538018638933252,-2.54,YouTube before official first-record anchor,YouTube before official first-record year,8,3,0,5,video_000404,2014-11-17T11:43:43Z,2014,[withheld],Uncertain,uncertain,low,Video unavailable,First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Perca_fluviatilis,Perca fluviatilis,Fishes,established,2015,2015-06-01T12:00:00Z,2013,2013-06-04T10:14:27Z,video_006532,[withheld],-2,-727.0732986111111,-1.990618202905164,-1.99,YouTube before official first-record anchor,YouTube before official first-record year,33,1,1,32,video_006532,2013-06-04T10:14:27Z,2013,[withheld],Plausible Iberian detection / observation,yes,high,Video appears to document a wild individual in Spain; the location in the video title is in the Basque Country,First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Mauremys_reevesii,Mauremys reevesii,Herptiles,alien,2016,2016-06-01T12:00:00Z,2014,2014-06-14T11:53:22Z,video_001490,[withheld],-2,-718.0046064814815,-1.9657894770197986,-1.97,YouTube before official first-record anchor,YouTube before official first-record year,21,9,0,12,video_001490,2014-06-14T11:53:22Z,2014,[withheld],Trade / pet / aquarium / ornamental,no,high,"Captive/pet content; no evidence of wild Iberian occurrence; Spanish user with a channel focused on turtle feeding and care, along with a related blog (Spanish address provided in the channel description)",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Xylella_fastidiosa,Xylella fastidiosa,"Bacteria, Viruses, Fungi",alien,2016,2016-06-01T12:00:00Z,2015,2015-01-26T10:13:34Z,video_015586,[withheld],-1,-492.073912037037,-1.3472249473977742,-1.35,YouTube before official first-record anchor,YouTube before official first-record year,89,9,0,80,video_015586,2015-01-26T10:13:34Z,2015,[withheld],Media / news / institutional communication,no,high,"Institutional communication/press conference by environmental authorities in Córdoba, Spain, about Xylella fastidiosa pest; no direct evidence that the video documents a wild Iberian occurrence.",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Geranoaetus_melanoleucus,Geranoaetus melanoleucus,Birds,alien,2009,2009-06-01T12:00:00Z,2008,2008-03-31T19:47:12Z,video_005756,[withheld],-1,-426.67555555555555,-1.1681740056278043,-1.17,YouTube before official first-record anchor,YouTube before official first-record year,29,1,0,28,video_005756,2008-03-31T19:47:12Z,2008,[withheld],Plausible Iberian detection / observation,yes,high,"Video/title describes an escaped captive individual filmed free-flying in Mallorca; comment indicates it remained at large for several years with observations across Mallorca, Cabrera and Menorca. Plausible Iberian observation, although origin was captivity.",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Vespa_velutina,Vespa velutina,Insects,established,2011,2011-06-01T12:00:00Z,2010,2010-11-25T08:15:05Z,video_006074,[withheld],-1,-188.15619212962963,-0.5151435787258853,-0.52,YouTube before official first-record anchor,YouTube before official first-record year,287,1,5,286,video_006074,2010-11-25T08:15:05Z,2010,[withheld],Plausible Iberian detection / observation,yes,high,"Institutional/news video from NEIKER-Tecnalia reporting confirmed presence of Vespa velutina in Irún, Gipuzkoa, Basque Country, Spain; plausible Iberian detection/occurrence",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Amazona_amazonica,Amazona amazonica,Birds,alien,2012,2012-06-01T12:00:00Z,2011,2011-12-09T20:43:14Z,video_004167,[withheld],-1,-174.63664351851853,-0.4781290719192841,-0.48,YouTube before official first-record anchor,YouTube before official first-record year,6,1,0,5,video_004167,2011-12-09T20:43:14Z,2011,[withheld],Trade / pet / aquarium / ornamental,no,high,"Captive/pet content; no evidence of wild Iberian occurrence; other videos from this channel user are from Spain (people, locations); Spanish voices",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Spodoptera_frugiperda,Spodoptera frugiperda,Insects,alien,2020,2020-06-01T12:00:00Z,2019,2019-12-24T10:42:14Z,video_008353,[withheld],-1,-160.05400462962962,-0.43820398255887644,-0.44,YouTube before official first-record anchor,YouTube before official first-record year,8,2,1,6,video_008353,2019-12-24T10:42:14Z,2019,[withheld],Plausible Iberian detection / observation,yes,high,"Amateur video from a Spain-based channel; author reports finding leaves with eggs in a park on 05/10/2019 and the video clearly identifies them as Spodoptera frugiperda. Plausible Iberian field observation, although not an official record.",First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Lonchura_oryzivora,Lonchura oryzivora,Birds,alien,2010,2010-06-01T12:00:00Z,2010,2010-03-13T23:46:24Z,video_001721,[withheld],0,-79.50944444444444,-0.21768499505665828,-0.22,YouTube before official first-record anchor,YouTube in same year as official first record,22,2,2,20,video_001721,2010-03-13T23:46:24Z,2010,[withheld],Trade / pet / aquarium / ornamental,no,high,Captive/pet content; no evidence of wild Iberian occurrence; other videos from this channel user are from Spain and mostly feature birds breeding in captivity.,First retained YouTube video predates official first-record anchor; manual context inspection required before interpretation.
Branta_canadensis,Branta canadensis,Birds,established,2008,2008-06-01T12:00:00Z,2008,2008-08-31T12:22:28Z,video_008761,[withheld],0,91.01560185185186,0.24918713717139454,0.25,YouTube after official first-record anchor,YouTube in same year as official first record,10,0,1,10,,,,,,,,,First retained YouTube video occurs after the official first-record anchor.
Eupsittula_pertinax,Eupsittula pertinax,Birds,alien,2011,2011-06-01T12:00:00Z,2011,2011-09-28T02:06:21Z,video_009395,[withheld],0,118.58774305555555,0.32467554566887213,0.32,YouTube after official first-record anchor,YouTube in same year as official first record,2,0,1,2,,,,,,,,,First retained YouTube video occurs after the official first-record anchor.
Tobamovirus_fructirugosum,Tobamovirus fructirugosum,"Bacteria, Viruses, Fungi",alien,2019,2019-06-01T12:00:00Z,2019,2019-12-18T17:41:51Z,video_011711,[withheld],0,200.23739583333332,0.5482201117955737,0.55,YouTube after official first-record anchor,YouTube in same year as official first record,20,0,1,20,,,,,,,,,First retained YouTube video occurs after the official first-record anchor.
Paratrechina_jaegerskioeldi,Paratrechina jaegerskioeldi,Insects,established,2012,2012-06-01T12:00:00Z,2012,2012-12-31T21:26:17Z,video_001337,[withheld],0,213.39325231481482,0.5842388838187949,0.58,YouTube after official first-record anchor,YouTube in same year as official first record,14,0,1,14,,,,,,,,,First retained YouTube video occurs after the official first-record anchor.
