LifeForm,time_period,KeywordCategory,prob,time_period_plot,n_eff,se,lower,upper
Insects,Post-Introduction,eCommerce,0.024957705708341077,Post-Introduction,434,0.007488057870882726,0.010281112281410933,0.03963429913527122
Insects,Post-Introduction,Threat,0.131394602381303,Post-Introduction,434,0.016216426561650572,0.09961040632046786,0.16317879844213812
Crustaceans,Pre-Introduction,Invasion,7.684028821009021e-13,Pre-Introduction,2,6.198398511310448e-7,0,1.21488687661973e-6
Crustaceans,Pre-Introduction,Detection,1.5242162865724438e-7,Pre-Introduction,2,2.7606304119248877e-4,0,5.412359823659352e-4
Crustaceans,Pre-Introduction,eCommerce,0.999999847577603,Pre-Introduction,2,2.7606373702887e-4,0.9994587626530264,1
Crustaceans,Pre-Introduction,Threat,7.813722390785759e-23,Pre-Introduction,2,6.250488937189538e-12,0,1.2250958316969632e-11
Crustaceans,Post-Introduction,Invasion,2.838911178847828e-12,Post-Introduction,8,5.957045386388886e-7,0,1.1675837346434004e-6
Crustaceans,Post-Introduction,Detection,0.1684616374587251,Post-Introduction,8,0.13232644962527815,0,0.4278214787242703
Crustaceans,Post-Introduction,eCommerce,0.8315383625384359,Post-Introduction,8,0.13232644962616724,0.5721785212711481,1
Crustaceans,Post-Introduction,Threat,7.08375902614062e-23,Post-Introduction,8,2.9756845905901678e-12,0,5.8323417976275664e-12
Non-arthropod invertebrates,Pre-Introduction,Invasion,0,Pre-Introduction,NA,NA,NA,NA
Non-arthropod invertebrates,Pre-Introduction,Detection,0,Pre-Introduction,NA,NA,NA,NA
Non-arthropod invertebrates,Pre-Introduction,eCommerce,0,Pre-Introduction,NA,NA,NA,NA
Non-arthropod invertebrates,Pre-Introduction,Threat,0,Pre-Introduction,NA,NA,NA,NA
Non-arthropod invertebrates,Post-Introduction,Invasion,0.42351542905539175,Post-Introduction,16,0.12352887071637828,0.18139884245129034,0.6656320156594931
Non-arthropod invertebrates,Post-Introduction,Detection,0.24656305983093305,Post-Introduction,16,0.10775252820634326,0.035368104546500245,0.45775801511536585
Non-arthropod invertebrates,Post-Introduction,eCommerce,0.09075780176260108,Post-Introduction,16,0.07181609463667488,0,0.23151734725048384
Non-arthropod invertebrates,Post-Introduction,Threat,0.23916370935107412,Post-Introduction,16,0.10664322220625096,0.030142993826822256,0.44818442487532595
Plants,Pre-Introduction,Invasion,0,Pre-Introduction,NA,NA,NA,NA
Plants,Pre-Introduction,Detection,0,Pre-Introduction,NA,NA,NA,NA
Plants,Pre-Introduction,eCommerce,0,Pre-Introduction,NA,NA,NA,NA
Plants,Pre-Introduction,Threat,0,Pre-Introduction,NA,NA,NA,NA
Plants,Post-Introduction,Invasion,0.7412598198320434,Post-Introduction,221,0.029459205579398705,0.6835197768964218,0.7989998627676649
Plants,Post-Introduction,Detection,0.10926330262667723,Post-Introduction,221,0.02098532490105079,0.06813206582061768,0.15039453943273678
Plants,Post-Introduction,eCommerce,0.020232017597672413,Post-Introduction,221,0.009470765463719274,0.0016693172887826367,0.03879471790656219
Plants,Post-Introduction,Threat,0.1292448599436071,Post-Introduction,221,0.0225662048727943,0.08501509839293027,0.17347462149428394
"Bacteria, Viruses, Fungi",Pre-Introduction,Invasion,0.11421340635003542,Pre-Introduction,3,0.18363796281448008,0,0.4741438134664164
"Bacteria, Viruses, Fungi",Pre-Introduction,Detection,1.3576297488028403e-6,Pre-Introduction,3,6.727128921128005e-4,0,0.0013198748982898919
"Bacteria, Viruses, Fungi",Pre-Introduction,eCommerce,0.07013641764951241,Pre-Introduction,3,0.14744185358846335,0,0.35912245068290055
"Bacteria, Viruses, Fungi",Pre-Introduction,Threat,0.8156488183707034,Pre-Introduction,3,0.22387930041369666,0.3768453895598579,1
"Bacteria, Viruses, Fungi",Post-Introduction,Invasion,0.1551217998990264,Post-Introduction,59,0.047131087853878866,0.06274486770542384,0.247498732092629
"Bacteria, Viruses, Fungi",Post-Introduction,Detection,0.5516056384835073,Post-Introduction,59,0.06474681565060464,0.4247018798083222,0.6785093971586924
"Bacteria, Viruses, Fungi",Post-Introduction,eCommerce,0.021439708041182885,Post-Introduction,59,0.01885720064792574,0,0.05839982131111733
"Bacteria, Viruses, Fungi",Post-Introduction,Threat,0.2718328535762834,Post-Introduction,59,0.05792159418351941,0.15830652897658537,0.3853591781759814
