TaxonName,LifeForm,PresentStatus,time_period_pm,KeywordCategory,n_cat,n_tot,n_other,prop
Pseudemys_peninsularis,Herptiles,alien,Post-Introduction,eCommerce,0,1,1,0
Pseudemys_peninsularis,Herptiles,alien,Post-Introduction,Threat,0,1,1,0
Psittacus_erithacus,Birds,casual,Post-Introduction,Invasion,0,4,4,0
Psittacus_erithacus,Birds,casual,Post-Introduction,Detection,0,4,4,0
Psittacus_erithacus,Birds,casual,Post-Introduction,eCommerce,4,4,0,1
Psittacus_erithacus,Birds,casual,Post-Introduction,Threat,0,4,4,0
Psittacus_erithacus,Birds,casual,Pre-Introduction,Invasion,0,6,6,0
Psittacus_erithacus,Birds,casual,Pre-Introduction,Detection,1,6,5,0.16666666666666666
Psittacus_erithacus,Birds,casual,Pre-Introduction,eCommerce,5,6,1,0.8333333333333334
Psittacus_erithacus,Birds,casual,Pre-Introduction,Threat,0,6,6,0
Spodoptera_frugiperda,Insects,alien,Post-Introduction,Invasion,0,2,2,0
Spodoptera_frugiperda,Insects,alien,Post-Introduction,Detection,2,2,0,1
Spodoptera_frugiperda,Insects,alien,Post-Introduction,eCommerce,0,2,2,0
Spodoptera_frugiperda,Insects,alien,Post-Introduction,Threat,0,2,2,0
Testudo_marginata,Herptiles,established,Pre-Introduction,Invasion,0,3,3,0
Testudo_marginata,Herptiles,established,Pre-Introduction,Detection,0,3,3,0
Testudo_marginata,Herptiles,established,Pre-Introduction,eCommerce,3,3,0,1
Testudo_marginata,Herptiles,established,Pre-Introduction,Threat,0,3,3,0
Tobamovirus_fructirugosum,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Invasion,0,3,3,0
Tobamovirus_fructirugosum,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Detection,1,3,2,0.3333333333333333
Tobamovirus_fructirugosum,"Bacteria, Viruses, Fungi",alien,Post-Introduction,eCommerce,0,3,3,0
Tobamovirus_fructirugosum,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Threat,2,3,1,0.6666666666666666
Varanus_exanthematicus,Herptiles,uncertain,Post-Introduction,Invasion,0,1,1,0
Varanus_exanthematicus,Herptiles,uncertain,Post-Introduction,Detection,0,1,1,0
Varanus_exanthematicus,Herptiles,uncertain,Post-Introduction,eCommerce,1,1,0,1
Varanus_exanthematicus,Herptiles,uncertain,Post-Introduction,Threat,0,1,1,0
Vespa_soror,Insects,alien,Post-Introduction,Invasion,0,2,2,0
Vespa_soror,Insects,alien,Post-Introduction,Detection,2,2,0,1
Vespa_soror,Insects,alien,Post-Introduction,eCommerce,0,2,2,0
Vespa_soror,Insects,alien,Post-Introduction,Threat,0,2,2,0
Vespa_velutina,Insects,established,Post-Introduction,Invasion,1,5,4,0.2
Vespa_velutina,Insects,established,Post-Introduction,Detection,2,5,3,0.4
Vespa_velutina,Insects,established,Post-Introduction,eCommerce,0,5,5,0
Vespa_velutina,Insects,established,Post-Introduction,Threat,2,5,3,0.4
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Invasion,4,24,20,0.16666666666666666
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Detection,15,24,9,0.625
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,eCommerce,1,24,23,0.041666666666666664
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Threat,4,24,20,0.16666666666666666
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,Invasion,0,3,3,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,Detection,0,3,3,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,eCommerce,0,3,3,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,Threat,3,3,0,1
Zebrasoma_flavescens,Fishes,uncertain,Post-Introduction,Invasion,0,1,1,0
Zebrasoma_flavescens,Fishes,uncertain,Post-Introduction,Detection,0,1,1,0
Zebrasoma_flavescens,Fishes,uncertain,Post-Introduction,eCommerce,1,1,0,1
Zebrasoma_flavescens,Fishes,uncertain,Post-Introduction,Threat,0,1,1,0
